col1,col2,cross_type,agg_type,benchmark,challenge,improvement
D_73,D_138,sigmoid_subtract,std,0.725,0.9166666666666669,26.43678160919543
D_73,D_138,sigmoid_product,std,0.725,0.9166666666666669,26.43678160919543
D_73,D_138,sigmoid_add,std,0.725,0.9166666666666669,26.43678160919543
D_73,D_138,sigmoid_ratio,std,0.725,0.9166666666666669,26.43678160919543
B_42,D_58,sigmoid_ratio,min,0.7573565685953523,0.8962586188386007,18.340377043387385
B_42,D_58,sigmoid_subtract,min,0.7573565685953523,0.8959916577716615,18.305127983960283
R_7,D_44,sigmoid_subtract,min,0.725,0.8437428157849398,16.378319418612392
B_28,B_42,sigmoid_ratio,min,0.7573565685953523,0.8810592509385229,16.33347982610073
B_28,B_42,sigmoid_subtract,min,0.7573565685953523,0.8809270458733831,16.31602370693285
R_7,D_44,sigmoid_ratio,min,0.725,0.8432192527856035,16.306103832497037
P_3,B_3,sigmoid_ratio,min,0.741403147841732,0.8531767208671349,15.07595069575606
B_42,D_78,sigmoid_ratio,min,0.7573565685953523,0.8695921757753307,14.819387833149525
B_42,D_78,sigmoid_subtract,min,0.7573565685953523,0.8695921757753307,14.819387833149525
P_3,B_3,sigmoid_subtract,min,0.741403147841732,0.850764404253652,14.750578916514852
B_42,D_61,sigmoid_ratio,min,0.8042550114985471,0.9174415194559346,14.073460076610536
B_42,D_61,sigmoid_subtract,min,0.8042550114985471,0.916538882256864,13.961227366069048
S_26,R_1,sigmoid_ratio,min,0.725,0.8262138480971251,13.960530772017252
S_26,R_1,sigmoid_subtract,min,0.725,0.8260597439077497,13.939275021758585
R_10,B_11,sigmoid_product,std,0.7339741826025613,0.8354691730460462,13.82814175882849
S_3,B_42,sigmoid_ratio,min,0.7573565685953523,0.8607750376564232,13.655188764372664
S_3,B_42,sigmoid_subtract,min,0.7573565685953523,0.8607484119026199,13.651673147699176
R_10,B_11,sigmoid_add,std,0.7339741826025613,0.8340553109366315,13.635510717720031
R_10,B_11,sigmoid_subtract,std,0.7339741826025613,0.8317615477111936,13.322997923699864
S_13,D_44,sigmoid_ratio,min,0.725,0.8191162606447,12.981553192372417
R_20,B_3,sigmoid_subtract,min,0.725,0.8188778589581156,12.948670201119397
