,overall,gini,top4,col1,col2
0,0.7723641128190928,0.9129711292207452,0.6317570964174403,S_15,B_8
1,0.7723278106122778,0.9130660907443116,0.631589530480244,B_8,B_41
2,0.7722649522513707,0.9129738872099366,0.6315560172928047,S_25,R_20
3,0.7722542179385705,0.9130194449592148,0.6314889909179262,S_18,R_12
4,0.7722655536716103,0.9130756296127336,0.6314554777304869,R_12,R_23
5,0.7722110346287976,0.912966591527108,0.6314554777304869,R_1,R_15
6,0.7722358304754926,0.9130161832204982,0.6314554777304869,S_17,R_28
7,0.7721429877530746,0.9128975241505408,0.6313884513556084,S_26,B_37
8,0.7722035028365124,0.9130185543174164,0.6313884513556084,S_13,B_15
9,0.7721982627887508,0.9130751005967715,0.63132142498073,R_1,B_4
10,0.772213754271114,0.913106083561498,0.63132142498073,S_23,R_20
11,0.7721088010310361,0.9129632034562208,0.6312543986058514,B_7,B_36
12,0.7720844733767299,0.912981574522487,0.6311873722309729,S_9,B_3
13,0.7720841137248334,0.912980855218694,0.6311873722309729,B_2,B_12
14,0.7721375131487878,0.9130876540666027,0.6311873722309729,S_22,B_4
15,0.7720968896446125,0.9130399202456916,0.6311538590435336,R_21,B_27
16,0.7720489321631723,0.91297751847025,0.6311203458560943,R_23,B_6
17,0.7720702031318167,0.9130535735949784,0.6310868326686551,S_12,B_13
18,0.7720217365843185,0.912956640499982,0.6310868326686551,B_8,B_13
19,0.7720494897881586,0.913012146907662,0.6310868326686551,B_9,B_38
20,0.7719694761238358,0.9128521195790166,0.6310868326686551,B_23,B_26
21,0.7719895915479118,0.9129258636146076,0.6310533194812159,S_16,R_10
22,0.7720365152637825,0.913019711046349,0.6310533194812159,R_12,R_15
23,0.772035439861184,0.913017560241152,0.6310533194812159,S_12,B_22
24,0.7720055723569321,0.9129913384200876,0.6310198062937766,S_24,B_24
25,0.7719942885254101,0.9129687707570436,0.6310198062937766,R_10,B_8
26,0.7719704693843061,0.9129211324748356,0.6310198062937766,R_1,B_27
27,0.772022646334012,0.9130589995616866,0.6309862931063374,R_16,B_19
28,0.7719707658439008,0.9129887517689034,0.6309527799188981,S_9,S_20
29,0.7719716099007125,0.9129904398825268,0.6309527799188981,R_26,B_24
30,0.7719062079205166,0.9128931491095742,0.6309192667314588,S_8,B_8
31,0.771959363365467,0.9129994599994752,0.6309192667314588,S_23,B_15
32,0.772008429990774,0.9130975932500892,0.6309192667314588,S_13,B_1
33,0.7719715220472674,0.9130237773630758,0.6309192667314588,R_19,B_28
34,0.7718957177972231,0.9129056820504268,0.6308857535440195,S_15,B_5
35,0.7719592984097272,0.913032843275435,0.6308857535440195,B_6,B_22
36,0.7719691432388733,0.913052532933727,0.6308857535440195,S_13,B_4
37,0.7719579857395222,0.913030217935025,0.6308857535440195,S_24,B_32
38,0.7719805356371041,0.9130753177301888,0.6308857535440195,S_13,B_3
39,0.7719000387522306,0.9129143239604416,0.6308857535440195,B_8,B_32
40,0.7719505171395387,0.913015280735058,0.6308857535440195,S_13,B_2
41,0.7719806943418931,0.9130756351397666,0.6308857535440195,R_2,B_6
42,0.7719426734909249,0.9129995934378302,0.6308857535440195,B_2,B_27
43,0.7719478254747386,0.9130098974054576,0.6308857535440195,B_2,B_6
44,0.771940158691163,0.9129945638383063,0.6308857535440195,S_9,S_25
45,0.771907924643163,0.9129300957423068,0.6308857535440195,S_9,S_26
46,0.771940172113956,0.9129945906838924,0.6308857535440195,R_17,B_37
47,0.771964425916683,0.9130430982893464,0.6308857535440195,S_16,S_19
48,0.771960584629135,0.9130354157142504,0.6308857535440195,B_8,B_15
49,0.7719370213106749,0.9129882890773302,0.6308857535440195,R_1,B_25
50,0.771958948232743,0.9130321429214664,0.6308857535440195,S_18,B_2
51,0.7719425471587552,0.9129993407734908,0.6308857535440195,B_4,B_13
52,0.7719082538963817,0.912930754248744,0.6308857535440195,B_23,B_41
53,0.7720314790847134,0.9131772046254072,0.6308857535440195,B_3,B_4
54,0.7719502439462206,0.9130147343484216,0.6308857535440195,R_17,B_19
55,0.7719400714430078,0.912994389341996,0.6308857535440195,R_1,R_4
56,0.7719908755304422,0.9130959975168648,0.6308857535440195,S_13,B_37
57,0.7719278922322306,0.9129700309204416,0.6308857535440195,R_12,B_11
58,0.7719601993160157,0.9130346450880116,0.6308857535440195,R_24,B_3
59,0.7719523702745588,0.913018987005098,0.6308857535440195,B_28,B_32
60,0.7719061713895147,0.9129265892350098,0.6308857535440195,S_3,B_17
61,0.7720003682086638,0.9131149828733082,0.6308857535440195,S_6,B_4
62,0.7718961771199899,0.9129401138833996,0.6308522403565803,S_19,B_26
63,0.7719031281528639,0.9129540159491476,0.6308522403565803,B_7,B_31
64,0.771964255947327,0.9130762715380736,0.6308522403565803,B_16,B_29
65,0.7719763329080043,0.9131004254594282,0.6308522403565803,S_6,S_12
