base_feature,ori_missing,ori_auc,new_missing,new_auc,missing_diff,auc_abs_gain,auc_pct_gain
P_2,0.00646963585690534,0.9160459118788743,0.005303837546550218,0.9160417528276306,0.11657983103551219,-4.159051243735057e-06,-0.0004540221390437245
S_3,0.1851549204315415,0.7446504301246235,0.12332620779973547,0.7452525006620386,6.182871263180603,0.0006020705374151225,0.08085277508190802
P_3,0.04841876346932861,0.6959970296419973,0.04690649425926047,0.6959715504360087,0.151226921006814,-2.5479205988609976e-05,-0.003660821081623842
S_5,0.0,0.6196550084983254,0.0,0.6196550084983254,0.0,0.0,0.0
S_6,0.0,0.5620097875298313,0.0,0.5620097875298313,0.0,0.0,0.0
S_7,0.1851549204315415,0.7346642518990226,0.12332620779973547,0.737362591645725,6.182871263180603,0.002698339746702416,0.36728883156183495
S_8,0.3522323403346604,0.6654676453114796,0.14200295045030323,0.7074809160003299,21.022938988435715,0.0420132706888503,6.313345357186452
S_9,0.40063802943041493,0.5148138410652862,0.31647392860956214,0.5246511483858495,8.41641008208528,0.009837307320563315,1.9108474823068706
S_11,0.0,0.5492601433394935,0.0,0.5492601433394935,0.0,0.0,0.0
S_12,0.0,0.5335310510877367,0.0,0.5335310510877367,0.0,0.0,0.0
S_13,0.0,0.5935796101081755,0.0,0.5935796101081755,0.0,0.0,0.0
S_15,0.3368546979492845,0.6452105196554851,0.13931834574309293,0.6763918270529888,19.75363522061916,0.031181307397503688,4.8327338826020965
P_4,0.870568059741171,0.5070393402151423,0.7536461159304705,0.5208341033119446,11.692194381070053,0.013794763096802276,2.7206494649801747
S_16,0.0,0.5288714637158533,0.0,0.5288714637158533,0.0,0.0,0.0
S_17,0.9380405436324533,0.5150298880071782,0.8351277911063753,0.5372463409124998,10.2912752526078,0.022216452905321593,4.313624009527764
S_18,0.0,0.5002459179787039,0.0,0.5002459179787039,0.0,0.0,0.0
S_19,0.0,0.5017150348921494,0.0,0.5017150348921494,0.0,0.0,0.0
S_20,0.0,0.5177878837755231,0.0,0.5177878837755231,0.0,0.0,0.0
S_22,0.003850403017565421,0.7265745462171938,0.0002571293469568306,0.7270202797173758,0.35932736706085905,0.00044573350018206614,0.06134724957029031
S_23,9.587873954322496e-05,0.6332889386728422,2.179062262346022e-06,0.6333735764198032,0.009369967728087895,8.463774696099158e-05,0.0133647916128716
S_24,0.003778493962908002,0.6917025125113283,0.00025495028469448456,0.692178700420129,0.35235436782135177,0.00047618790880066264,0.06884287684192326
S_25,0.0030964474747936974,0.6230994553601713,9.8057801805571e-05,0.6248434977008956,0.29983896729881265,0.0017440423407243388,0.27989790806609305
S_26,0.0,0.5597334520813886,0.0,0.5597334520813886,0.0,0.0,0.0
S_27,0.25531200903003404,0.575844060660752,0.14324501593984046,0.5788027924283892,11.206699309019358,0.0029587317676371683,0.5138078118305454
R_1,0.0,0.70654366167487,0.0,0.70654366167487,0.0,0.0,0.0
R_2,0.0,0.6265820711319866,0.0,0.6265820711319866,0.0,0.0,0.0
R_3,0.0,0.6539603374844926,0.0,0.6539603374844926,0.0,0.0,0.0
R_4,0.0,0.5876037214472121,0.0,0.5876037214472121,0.0,0.0,0.0
R_5,0.946477872712257,0.5073432080478233,0.8823524284559383,0.5652264704610689,6.4125444256318715,0.057883262413245595,11.409093784062128
