number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_min_child_samples,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_subsample_freq,state
0,0.778348412551496,2022-07-09 02:47:02.956404,2022-07-09 02:54:34.917066,0 days 00:07:31.960662,0.5313396120734114,262,253,1.2865108236859313,0.28439621345811766,2.1932476316940814,0.7926958444960722,9,COMPLETE
1,0.7789681825065135,2022-07-09 02:54:34.936513,2022-07-09 03:02:59.912725,0 days 00:08:24.976212,0.44382813013833566,211,256,0.22674966820025513,0.43520496989501284,2.1175402212860965,0.6408114352447287,6,COMPLETE
2,0.7802971647453754,2022-07-09 03:02:59.921348,2022-07-09 03:11:23.987011,0 days 00:08:24.065663,0.4803493201126924,274,293,2.4670082381059872,1.3460118640908993,2.111007733578304,0.7776294697086545,10,COMPLETE
3,0.7804017580637356,2022-07-09 03:11:23.993277,2022-07-09 03:20:31.058042,0 days 00:09:07.064765,0.4363313816047155,246,299,0.2981825125418758,1.286688989108854,2.1122577812667447,0.6557129157232046,7,COMPLETE
4,0.7791332369211551,2022-07-09 03:20:31.063802,2022-07-09 03:28:55.603594,0 days 00:08:24.539792,0.5004962771907553,252,258,0.18756326911117763,0.14962954915750987,2.000973795676787,0.6756794378362326,8,COMPLETE
5,0.7763464869079887,2022-07-09 03:28:55.613335,2022-07-09 03:35:03.767178,0 days 00:06:08.153843,0.40376148160914055,261,227,0.21095541205355073,7.6441429705882085,2.1253817347425805,0.7180565434982746,7,COMPLETE
6,0.7769337018693621,2022-07-09 03:35:03.776200,2022-07-09 03:41:45.384073,0 days 00:06:41.607873,0.5687049274115923,265,275,9.012737994783127,4.007362502116066,2.104924059605944,0.7264838278800729,10,COMPLETE
7,0.779168015486977,2022-07-09 03:41:45.392132,2022-07-09 03:50:56.714244,0 days 00:09:11.322112,0.5090299982146451,203,261,0.12623277944690225,0.1685990689895091,1.9614779859254465,0.6193311435373711,6,COMPLETE
8,0.7790507117305434,2022-07-09 03:50:56.724348,2022-07-09 03:58:06.423756,0 days 00:07:09.699408,0.42696692439109896,221,275,4.791901432596868,0.7546202902770882,1.978377576962198,0.7110128345009114,6,COMPLETE
9,0.7777336565415511,2022-07-09 03:58:06.428825,2022-07-09 04:04:53.747498,0 days 00:06:47.318673,0.45276971409271327,238,256,2.18701799402618,4.066842261874378,2.1276974711769507,0.6888082249248833,8,COMPLETE
10,0.7805796837164796,2022-07-09 04:04:53.754314,2022-07-09 04:13:04.958021,0 days 00:08:11.203707,0.36215078385774657,238,299,0.562706080117009,1.6250110069980166,2.2464613585725592,0.6024338435083867,7,COMPLETE
11,0.7802028138877686,2022-07-09 04:13:04.968399,2022-07-09 04:21:25.616240,0 days 00:08:20.647841,0.3540484521453615,238,300,0.5704489079816069,1.3563625882644637,2.233854498298847,0.6041200872101371,7,COMPLETE
12,0.780405258560479,2022-07-09 04:21:25.624428,2022-07-09 04:29:11.809195,0 days 00:07:46.184767,0.35005074949266907,229,284,0.5272501934093944,2.4195142726730774,2.034705824509825,0.6486520732591227,7,COMPLETE
13,0.7794877645591975,2022-07-09 04:29:11.820304,2022-07-09 04:36:51.270624,0 days 00:07:39.450320,0.35857982336864885,224,285,0.5815092339692384,2.9995148972332384,2.038424628530982,0.6331102578684857,7,COMPLETE
14,0.7793280619691939,2022-07-09 04:36:51.276381,2022-07-09 04:44:22.654714,0 days 00:07:31.378333,0.39329513472379984,225,280,0.5395047933696551,2.49668163840382,1.921445451543796,0.6027565833956463,8,COMPLETE
