number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bins,params_max_depth,params_min_child_samples,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_subsample_freq,state
0,0.7856181531316111,2022-07-09 02:30:42.000745,2022-07-09 02:36:26.924996,0 days 00:05:44.924251,0.5362156190706394,0.014699864597955971,196,11,175,352,4.2885762929632225,16.73315635838172,1.9514304737613488,0.6498097326459632,8,COMPLETE
1,0.7861059219901552,2022-07-09 02:36:26.925655,2022-07-09 02:52:28.408022,0 days 00:16:01.482367,0.48541883391586516,0.014948616634574302,170,17,158,363,3.7734014907984434,11.792873030903431,1.6896822721620897,0.6765136794745309,5,COMPLETE
2,0.7854298308163248,2022-07-09 02:52:28.409313,2022-07-09 09:46:43.541978,0 days 06:54:15.132665,0.28793786405121075,0.028373468234182974,225,13,155,467,5.13889091923171,6.348595662033463,1.8102104179644505,0.6817843565346975,8,COMPLETE
3,0.7849673311392802,2022-07-09 09:46:43.542579,2022-07-09 10:04:33.186281,0 days 00:17:49.643702,0.446481694406116,0.03382879072110062,250,14,159,456,3.8094039762780754,6.223776193566484,1.838391640325112,0.7266090286997648,4,COMPLETE
4,0.7848361645018163,2022-07-09 10:04:33.187465,2022-07-09 10:17:50.116410,0 days 00:13:16.928945,0.6114994747529436,0.014684076822521028,180,19,171,292,4.3789299761936915,17.307933743363783,2.0660738577569413,0.6553728791400121,8,COMPLETE
5,0.7854997759930898,2022-07-09 10:17:50.117284,2022-07-09 10:25:12.131359,0 days 00:07:22.014075,0.6002277396548856,0.08755906675817303,174,14,153,255,4.032877306792664,9.205191467521603,1.6518037884325814,0.6825266423019288,5,COMPLETE
6,0.7855469424362703,2022-07-09 10:25:12.131953,2022-07-09 10:43:39.198984,0 days 00:18:27.067031,0.4872129438017797,0.014723281480953148,176,15,150,485,5.139884669125831,9.63824772585041,2.115174089079698,0.7472065291979954,9,COMPLETE
7,0.784911718252744,2022-07-09 10:43:39.199895,2022-07-09 10:46:19.392311,0 days 00:02:40.192416,0.5665029484885402,0.05910548124254974,209,10,153,211,5.493244534036359,8.190792487578275,1.748575807787256,0.7452292806695816,6,COMPLETE
8,0.7854553001962155,2022-07-09 10:46:19.392931,2022-07-09 10:55:49.020998,0 days 00:09:29.628067,0.6017715554864762,0.014644737584964262,241,14,172,350,4.711199275747101,14.713433734553162,1.5819014330645744,0.6380199013519576,7,COMPLETE
9,0.7854562960044926,2022-07-09 10:55:49.021636,2022-07-09 11:02:26.222501,0 days 00:06:37.200865,0.520531414117464,0.07109295959068404,182,11,171,398,4.622309930594406,13.839907150462691,2.1975357721409075,0.6138374590024486,8,COMPLETE
10,0.7853790820144445,2022-07-09 11:02:26.223128,2022-07-09 11:20:46.391609,0 days 00:18:20.168481,0.38291745360347085,0.02586188418919296,164,18,162,397,3.524417680327819,11.640808452664224,1.5541246276033736,0.7056908567261472,4,COMPLETE
11,0.784510253186782,2022-07-09 11:20:46.392794,2022-07-09 11:34:42.632742,0 days 00:13:56.239948,0.6904802178716628,0.010506870851359531,197,17,179,337,4.052305597480387,19.957957371554787,1.9022091589427537,0.6531543986683509,6,COMPLETE
12,0.7857086195922935,2022-07-09 11:34:42.633722,2022-07-09 11:50:34.089552,0 days 00:15:51.455830,0.4020311837567945,0.020531336682865376,199,17,179,404,3.662827057696081,12.69268063565987,1.980591118254226,0.618202014845328,5,COMPLETE
13,0.7862473211628209,2022-07-09 11:50:34.090481,2022-07-09 12:07:38.734733,0 days 00:17:04.644252,0.38485595940144524,0.02210038155107435,214,17,164,417,3.5266728012169923,12.054765736567584,1.7095983749456574,0.6127505599644891,5,COMPLETE
14,0.7847894632396709,2022-07-09 12:07:38.735678,2022-07-09 12:26:26.441359,0 days 00:18:47.705681,0.3133947877973252,0.04126607072154676,216,20,166,429,3.8425194041442947,10.508325229067438,1.711037660652087,0.6017950589452681,5,COMPLETE
15,0.7860631418170545,2022-07-09 12:26:26.442354,2022-07-09 12:39:19.090069,0 days 00:12:52.647715,0.3621078381570328,0.02102661822285747,225,16,166,329,3.527897602916647,7.677265601433602,1.5003446562622895,0.7001544788009431,5,COMPLETE
16,0.7849120831639971,2022-07-09 12:39:19.091072,2022-07-09 12:59:13.953015,0 days 00:19:54.861943,0.41252545538982394,0.010257646893833537,160,18,160,432,3.792289510281899,11.733745050593082,1.680677076868503,0.6718411085646705,6,COMPLETE
17,0.7858037302656318,2022-07-09 12:59:13.953903,2022-07-09 13:12:22.898096,0 days 00:13:08.944193,0.25895886337595064,0.04192612385184238,191,16,164,375,4.089211430631719,14.434352769504963,1.7772120575014723,0.6340821102054134,4,COMPLETE
