iter	AmexMetric	Logloss
0	0.6838437389	0.6488614443
1	0.7118786747	0.609658188
2	0.7224405378	0.5727955122
3	0.724908662	0.5416427353
4	0.7301698925	0.515279472
5	0.7340276648	0.4913469131
6	0.7363318783	0.4706567732
7	0.7385170981	0.4518767061
8	0.7407730272	0.4349846425
9	0.7419743507	0.4191100711
10	0.7430815609	0.4058882064
11	0.7451263263	0.3937209833
12	0.7464994924	0.382627124
13	0.7480798291	0.3728180587
14	0.7497658451	0.3636645931
15	0.750317709	0.3549732652
16	0.751348954	0.3477887084
17	0.751574098	0.3410122781
18	0.7531949925	0.3348023602
19	0.7537864525	0.3289180233
20	0.7543325277	0.3236428433
21	0.7548712519	0.3184453284
22	0.7552967619	0.3140707139
23	0.7562736203	0.3094540713
24	0.7573146492	0.3056403825
25	0.7581583741	0.301713525
26	0.7587604626	0.2984211302
27	0.7593007383	0.2958097918
28	0.7599627223	0.2928166194
29	0.76076837	0.2899251606
30	0.7616804345	0.2875980786
31	0.7619760899	0.2851249737
32	0.7630898809	0.2832059072
33	0.7636825224	0.2810749979
34	0.763878868	0.279304138
35	0.7646331963	0.2776184292
36	0.765329426	0.2757028194
37	0.7659573608	0.2741098634
38	0.7666379964	0.2724487194
39	0.767018283	0.2710743647
40	0.7675036102	0.2696861357
41	0.7681332459	0.2680755551
42	0.7687574139	0.2668853408
43	0.7695014038	0.2657440867
44	0.7696672398	0.2647164413
45	0.7703932065	0.2636310489
46	0.7707413226	0.2625409544
47	0.7711127886	0.2615820438
48	0.7716869558	0.2606938434
49	0.7719149683	0.2597043379
50	0.7724657414	0.2585760388
51	0.7727508711	0.2577677882
52	0.7733297806	0.2568507914
53	0.7740538452	0.2561102252
54	0.7742593871	0.2553859743
55	0.7744492516	0.2547765524
56	0.7748670839	0.2540537351
57	0.775087655	0.2534238491
58	0.7756758009	0.252855591
59	0.7762919914	0.2523030799
60	0.7765770232	0.2517383674
61	0.7770474946	0.2511815006
62	0.7771754504	0.2505802089
63	0.7774313549	0.2499858896
64	0.7778468475	0.2495462053
65	0.7781571134	0.2490353181
66	0.7787455438	0.2485037218
67	0.7791140327	0.2480802064
68	0.7797629186	0.2476420487
69	0.7799990257	0.2472543221
70	0.7802840966	0.2468475519
71	0.7808414179	0.2464011874
72	0.781109768	0.2459925568
73	0.7814936998	0.2455999379
74	0.7818710844	0.2452236001
75	0.7821141842	0.2449058383
76	0.7825543194	0.2445172886
77	0.7826698621	0.2442196604
78	0.7827435238	0.2438505465
79	0.783045871	0.2435736301
80	0.7835325689	0.2431661822
81	0.7839720441	0.2428626217
82	0.7842581332	0.2424798608
83	0.7844920827	0.2421332009
84	0.7846988419	0.2418303595
85	0.7847580255	0.2415701018
86	0.7851399484	0.2412983902
87	0.7853353497	0.2410387435
88	0.7856511705	0.2407275119
89	0.7859222765	0.2404687594
90	0.7861840141	0.240181367
91	0.7864090914	0.2399165771
92	0.7866143018	0.2396299755
93	0.7867908314	0.2393113037
94	0.7871015227	0.2390617884
95	0.7874560874	0.2388133917
96	0.7877902531	0.2385940047
97	0.7879541841	0.2383283137
98	0.7884057648	0.2381074733
99	0.7885325651	0.2378693459
100	0.7888221423	0.2376502238
101	0.7890525873	0.2374119152
102	0.78940995	0.2372317598
103	0.7894439582	0.2370289918
104	0.7894600004	0.2367940384
105	0.7896170177	0.236598965
106	0.7898431331	0.2364290649
107	0.7901698348	0.2361956018
108	0.7902855504	0.2360020348
109	0.7905274663	0.2357931929
110	0.7909731604	0.2355850855
111	0.790967951	0.235358361
112	0.791229196	0.2351494325
113	0.7915371772	0.2349534524
114	0.7915584061	0.2347700216
115	0.7919786068	0.2346146682
116	0.7918460214	0.2344310885
117	0.7922517344	0.2342755247
118	0.7926175911	0.2340695677
119	0.7929733801	0.2338822269
120	0.7930989037	0.2336921679
121	0.7933096548	0.2335097895
122	0.7935543157	0.2333141318
123	0.7935833971	0.2331455241
124	0.7936468727	0.2329986223
125	0.7939493499	0.2328433527
126	0.7941831156	0.2326796188
127	0.794413078	0.2325305004
128	0.7946870215	0.2323579753
129	0.7947488968	0.2322268806
130	0.7949549348	0.2320787023
131	0.7951955173	0.2319424928
132	0.7953535716	0.2317851244
133	0.7955165547	0.2316298314
134	0.7958741061	0.2315027242
135	0.7960274521	0.2313657241
136	0.7962391836	0.2312448883
137	0.7963454639	0.2310937998
138	0.7965949421	0.230930635
139	0.796763668	0.2307960184
140	0.7970088177	0.2306446802
141	0.7972289194	0.2305011447
142	0.7973954877	0.2303464316
143	0.7975513611	0.2301948342
144	0.7977648945	0.2300747093
145	0.7978472901	0.2299377424
146	0.7981536437	0.2297990446
147	0.7983101184	0.2296377099
148	0.7985301447	0.2295124859
149	0.7988315632	0.2293874255
150	0.7988493309	0.2292619703
151	0.7989840754	0.2291131248
152	0.7991666674	0.2290117672
153	0.7993984813	0.2288505431
154	0.7997025846	0.2287334841
155	0.7997867591	0.2286238269
156	0.7997943701	0.2284937361
157	0.8000885816	0.2283441527
158	0.800318476	0.2282178222
159	0.8003388582	0.2280880242
160	0.8005020926	0.2279824188
161	0.8006314076	0.2278851909
162	0.800679834	0.2277703303
163	0.8009615895	0.2276611021
164	0.8010564666	0.2275638447
165	0.8011178871	0.2274313207
166	0.8012086821	0.2273032778
167	0.8013209482	0.2271790059
168	0.8014452739	0.227037361
169	0.8016526422	0.22690177
170	0.8019884709	0.2267705685
171	0.8023642361	0.2266483607
172	0.8025588815	0.2265451815
173	0.8027653008	0.226441433
174	0.8027422316	0.2263135408
175	0.8030258102	0.2261960599
176	0.8029832299	0.226094626
177	0.8031879471	0.2259752204
