iter	Passed	Remaining
0	801	1200747
1	1589	1190749
2	2336	1166021
3	3086	1154403
4	3860	1154170
5	4659	1160328
6	5442	1160860
7	6210	1158298
8	6981	1156570
9	7769	1157673
10	8574	1160626
11	9356	1160172
12	10159	1162082
13	10950	1162303
14	11752	1163516
15	12528	1161976
16	13271	1157755
17	14023	1154628
18	14805	1154014
19	15612	1155315
20	16367	1152763
21	17131	1150924
22	17902	1149621
23	18706	1150465
24	19456	1147957
25	20238	1147379
26	21031	1147384
27	21840	1148186
28	22634	1148117
29	23418	1147503
30	24150	1144437
31	24959	1145017
32	25782	1146140
33	26542	1144453
34	27310	1143141
35	28071	1141594
36	28844	1140520
37	29611	1139248
38	30379	1138060
39	31185	1138254
40	31919	1135879
41	32687	1134712
42	33470	1134099
43	34240	1133035
44	34988	1131297
45	35754	1130145
46	36484	1127911
47	37279	1127714
48	38066	1127230
49	38859	1126930
50	39666	1126990
51	40437	1126015
52	41194	1124690
53	41979	1124116
54	42765	1123577
55	43511	1121975
56	44256	1120378
57	45002	1118859
58	45744	1117246
59	46467	1115211
60	47233	1114237
61	47993	1113139
62	48730	1111523
63	49488	1110402
64	50256	1109518
65	51021	1108547
66	51781	1107496
67	52533	1106284
68	53291	1105226
69	54111	1105423
70	54864	1104236
71	55622	1103171
72	56420	1102912
73	57220	1102650
74	57942	1100903
75	58711	1100066
76	59463	1098910
77	60213	1097742
78	61011	1097439
79	61820	1097305
80	62585	1096413
81	63316	1094911
82	64066	1093765
83	64834	1092929
84	65608	1092190
85	66347	1090882
86	67097	1089752
87	67848	1088653
88	68611	1087768
89	69404	1087335
90	70210	1087108
91	71020	1086915
92	71825	1086656
93	72597	1085872
94	73361	1084980
95	74161	1084613
96	74960	1084220
97	75738	1083525
98	76526	1082964
99	77251	1081519
100	78014	1080618
101	78803	1080077
102	79596	1079569
103	80391	1079107
104	81199	1078797
105	81948	1077697
106	82715	1076852
107	83506	1076308
108	84275	1075483
109	85059	1074837
110	85792	1073563
111	86576	1072932
112	87315	1071734
113	88110	1071232
114	88882	1070459
115	89644	1069556
116	90413	1068728
117	91191	1068027
118	91941	1066986
119	92743	1066551
120	93541	1066067
121	94303	1065166
122	95039	1063983
123	95804	1063121
124	96584	1062434
125	97391	1062027
126	98139	1060983
127	98886	1059943
128	99684	1059432
129	100472	1058821
130	101234	1057942
131	102028	1057389
132	102823	1056838
133	103570	1055802
134	104362	1055216
135	105117	1054267
136	105892	1053511
137	106663	1052719
138	107463	1052214
