base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
B_1,111.0,30.0,54.8,43.6,23.5,24.0,141.2,72.4,48.8,68.2,55.0,47.0,32.8,25.5,27.4,32.6,15.5,43.0,35.4,27.0,92.0,47.8,24.8,44.6
B_10,90.8,38.4,79.4,41.8,29.6,54.0,48.2,85.2,55.4,86.6,70.8,70.0,36.8,37.6,22.5,17.5,25.5,43.6,36.5,27.8,38.2,50.0,26.8,40.8
B_11,99.8,33.8,57.4,31.0,28.6,32.6,143.4,69.4,43.0,84.0,60.6,48.6,29.4,41.2,29.6,39.4,16.0,46.4,29.4,27.6,53.8,43.4,21.8,39.4
B_12,30.2,34.4,66.8,36.4,19.0,43.4,15.2,68.6,20.4,45.4,48.8,64.6,21.4,25.0,33.8,11.2,5.6,24.6,16.6,18.0,26.0,54.8,14.4,33.2
B_13,29.6,74.0,89.6,42.8,34.8,65.8,39.2,87.6,56.8,90.4,63.6,72.6,57.8,58.0,87.0,35.6,24.0,28.6,51.4,28.2,23.0,73.0,38.8,44.2
B_14,86.6,29.4,56.6,36.2,21.0,39.2,57.4,96.2,52.0,61.0,45.6,47.6,40.6,33.2,26.0,26.2,16.6,48.0,17.0,30.2,50.0,39.0,24.4,38.0
B_15,18.8,9.5,60.0,3.0,3.0,6.0,18.0,31.8,6.5,18.0,27.2,18.5,8.5,7.0,4.0,7.0,7.0,4.5,8.0,7.5,3.5,10.5,5.5,7.5
B_16,20.5,13.5,68.6,10.5,10.5,22.5,,20.0,9.5,36.0,69.4,82.8,14.0,21.0,18.0,8.0,,,12.5,,,54.8,,26.5
B_17,14.8,76.6,55.4,13.6,28.0,26.8,46.4,38.6,66.4,42.8,36.0,26.2,51.6,40.0,45.0,33.5,70.0,28.0,60.2,32.0,29.0,50.4,29.2,16.8
B_18,1.8,3.0,17.0,0.6,0.0,4.4,0.6,10.6,1.6,5.6,4.8,2.6,0.5,1.5,1.0,0.0,0.0,0.4,0.8,0.0,0.2,8.2,0.0,0.6
B_19,22.2,27.0,71.0,19.0,14.0,16.0,19.5,20.5,15.5,49.0,45.8,57.8,22.5,20.5,18.5,25.5,,,39.2,16.5,,40.0,16.0,25.5
B_2,85.2,67.6,69.8,51.4,26.0,47.6,122.2,79.8,141.8,102.4,64.2,51.4,54.8,46.0,37.0,18.5,49.6,50.2,45.4,57.6,58.0,64.2,39.4,47.0
B_20,31.0,12.5,61.6,20.0,,26.0,14.5,36.0,17.0,41.0,47.8,39.0,10.5,13.5,6.5,,,,12.5,10.0,2.0,34.5,,24.0
B_21,36.6,57.0,62.6,8.5,8.0,25.6,6.5,57.2,11.5,35.6,37.2,38.2,11.5,16.0,15.5,20.5,0.0,9.5,11.5,5.5,15.5,59.8,9.5,12.5
B_22,,32.0,58.6,,,,31.5,16.0,19.0,24.0,42.2,16.0,7.0,8.5,,,,,,,,16.5,,
B_23,101.6,33.8,59.4,51.0,29.0,42.0,83.0,59.0,44.6,75.4,62.6,45.6,40.6,52.6,34.6,57.8,16.0,62.6,53.8,38.6,68.2,65.8,28.8,59.0
B_24,53.666666666666664,37.0,35.5,10.5,10.0,23.0,29.5,53.5,14.0,54.0,32.0,50.0,17.0,15.0,10.0,6.0,0.0,13.0,7.5,7.0,13.5,50.0,5.0,15.5
