feature,first,second_last,last,avg,max,min,range,std,displacement,sprint,previous_sprint,last_minus_avg,velocity
B_1,75.2,83.6,235.2,62.6,,90.4,70.0,85.6,72.0,179.6,168.6,121.6,87.6
B_10,105.2,118.8,140.2,76.8,,121.2,92.4,95.6,115.0,164.0,164.2,144.4,143.6
B_11,74.0,111.2,181.6,77.4,,102.8,58.0,82.4,73.6,173.0,173.0,103.8,81.8
B_12,115.0,90.0,99.8,105.2,108.6,,78.6,110.2,103.2,148.2,183.6,131.4,116.2
B_13,133.6,99.2,93.6,94.2,84.6,106.2,88.4,101.4,145.2,182.0,176.2,136.4,138.8
B_14,77.6,89.4,140.0,66.2,77.0,91.2,61.6,97.6,73.4,168.4,178.6,155.2,98.8
B_15,161.6,169.2,152.2,160.4,141.4,140.8,127.4,135.4,123.4,153.0,189.8,153.4,142.6
B_16,,12.0,12.6,52.6,19.6,15.0,,96.2,21.2,5.0,3.4,51.4,38.8
B_17,119.8,140.0,156.6,170.8,154.8,176.4,167.4,149.0,70.4,170.8,175.4,165.0,81.0
B_18,,76.6,128.4,84.4,49.0,,84.2,104.6,80.4,150.8,150.2,98.4,87.4
B_19,,31.2,29.4,68.6,53.6,10.2,,92.4,21.0,8.4,13.8,46.6,27.8
B_2,139.4,174.0,210.8,102.6,100.0,158.8,112.2,119.4,126.6,169.4,181.4,115.6,123.0
B_20,,17.4,22.8,37.0,,6.0,,75.8,13.0,13.6,10.6,45.4,37.0
B_21,157.0,166.2,151.4,178.8,160.4,156.6,129.0,165.6,116.6,172.2,163.2,159.2,137.0
B_22,,8.2,22.6,62.8,,,,24.2,3.0,0.6,7.2,37.4,4.8
B_23,76.6,88.8,129.4,79.2,110.6,,102.6,107.6,95.8,140.6,158.2,113.0,102.4
B_24,143.8,155.2,178.8,152.4,143.2,150.4,117.6,153.2,113.0,162.8,175.6,133.6,139.6
B_25,91.8,89.8,101.4,77.0,85.0,,66.8,75.6,78.6,230.6,172.2,122.0,96.8
B_26,182.0,168.6,142.0,162.0,128.6,135.0,119.2,155.0,148.2,150.4,149.6,126.0,148.6
B_27,175.8,143.6,132.6,166.8,144.8,,116.8,166.4,120.0,149.6,168.0,134.4,146.6
B_28,95.4,98.0,85.6,80.0,,97.6,86.4,103.2,111.0,179.4,196.4,103.8,122.0
B_29,,22.2,17.0,33.0,29.6,47.2,,22.0,6.8,20.2,15.0,13.6,6.4
B_3,130.8,163.8,248.2,93.0,149.8,,115.8,153.2,146.8,198.8,171.6,181.6,164.6
B_30,,2.6,8.8,,,,,,,,,,
B_31,,,,,,,,,,,0.0,,
B_32,,2.0,,4.6,,,,2.4,,,0.0,5.0,
B_33,,1.4,,29.8,,,,30.6,0.8,4.0,1.0,34.2,4.4
B_36,154.0,145.6,143.4,192.6,129.2,123.8,130.4,153.2,121.8,154.6,181.8,134.8,121.2
